EngineCoolantTemperature;EngineLoad;RPM;IntakeManifoldPressure;MassAirFlow;IntakeAirTemperature;Speed;ShortTermFuelTrimBank1;ThrottlePosition;TimingAdvance
97;36,1;797;31;4,05;35;0;-0,023;20;0,584
97;35,3;810;34;4,14;35;0;0,023;20;0,573
98;40;813;55;4,41;35;5;-0,023;20,8;0,529
98;66,3;1446;24;13,06;34;18;0;31;0,529
98;44,3;1793;19;11,66;33;16;0,008;29,8;0,706
98;61,2;1441;68;17,36;33;32;0,062;33,3;0,678
99;20,4;2100;72;6,13;33;40;-0,016;23,5;0,635
99;84,7;2113;61;26,56;33;51;0,023;35,7;0,671
99;19,6;2038;36;5,86;33;51;-0,016;23,9;0,627
98;17,6;1291;21;3,5;33;32;0,102;20,4;0,612
97;20,8;1017;37;2,65;34;17;0,039;18,4;0,584
97;43,5;753;32;4,56;35;2;-0,016;21,2;0,549
96;86,7;1117;35;15,91;34;19;0,047;32,2;0,635
95;16,1;1781;59;4,85;34;22;0;22,4;0,753
94;81,2;2300;24;28,73;33;32;-0,055;36,1;0,675
92;28,2;1868;63;12,41;33;42;-0,008;32,2;0,769
91;73,3;2097;49;22,97;33;44;-0,047;34,1;0,678
91;57,6;2166;58;18,73;33;46;-0,062;32,5;0,698
90;68,2;2281;55;23,04;33;49;0,023;34,1;0,694
90;65,5;2486;23;24,52;33;52;0,023;34,5;0,702
89;55,3;1742;63;19,48;33;54;0,062;33,7;0,729
89;58,8;1777;50;15,21;33;52;0,031;31,4;0,69
89;58;1708;50;14,49;33;49;0,031;31,4;0,69
89;85,1;1657;51;20,71;33;51;-0,008;34,1;0,659
89;60,8;1699;18;15,66;33;50;0,023;31,8;0,686
89;38,4;1652;21;9,1;34;39;-0,016;27,8;0,725
89;87,8;1348;67;19,18;34;48;0,008;34,1;0,655
89;72,2;1700;35;17,5;34;53;0,016;32,5;0,655
89;25,5;1499;21;3,3;34;50;0,047;20,4;0,706
88;18,4;1299;21;3,77;34;42;0,102;20,4;0,608
88;23,1;1086;29;3,69;35;30;-0,023;19,2;0,565
88;36,1;789;29;3,88;35;8;-0,078;20;0,533
88;31,4;801;33;3,62;35;0;0,008;19,6;0,62
88;36,5;811;31;3,99;36;0;-0,023;20;0,557
88;38,4;797;31;3,98;36;0;0,023;20,4;0,545
